iter	RMSE
0	0.029404371
1	0.02837771908
2	0.02740463114
3	0.02644114067
4	0.02552536779
5	0.02464406434
6	0.02379740228
7	0.02297919863
8	0.02223090134
9	0.0214933573
10	0.0208064425
11	0.0201215443
12	0.0194637938
13	0.0188524271
14	0.01824278071
15	0.01766659961
16	0.01713665167
17	0.01661418054
18	0.01611975321
19	0.01564148469
20	0.01519189236
21	0.01476608673
22	0.01437736513
23	0.01398098449
24	0.01360654497
25	0.01324815405
26	0.01291408239
27	0.01261805523
28	0.01230276699
29	0.01201284336
30	0.01172005453
31	0.01145542486
32	0.01122488195
33	0.01098446451
34	0.01074827688
35	0.01053862782
36	0.01033870508
37	0.01013631837
38	0.009958136559
39	0.009777833642
40	0.009612875474
41	0.00945294563
42	0.00930404796
43	0.009158793372
44	0.009029355257
45	0.008903949288
46	0.008787378716
47	0.008675387918
48	0.008567386652
49	0.00846725758
50	0.008367368079
51	0.008272951816
52	0.008187769142
53	0.008100275977
54	0.008025754777
55	0.007962904037
56	0.00788817876
57	0.007822503645
58	0.007769166962
59	0.007711033632
60	0.007660031716
61	0.007604132886
62	0.007560464749
63	0.007522163146
64	0.007476797863
65	0.007439689598
66	0.007406403232
67	0.007367199642
68	0.007329561693
69	0.007292836173
70	0.007257081507
71	0.007222954767
72	0.00718409656
73	0.007166659268
74	0.007132329584
75	0.007101388324
76	0.007075767888
77	0.007053878082
78	0.007030832477
79	0.007008954434
80	0.006990212673
81	0.006969609849
82	0.006949145812
83	0.006927583744
84	0.006908757435
85	0.006885478989
86	0.006870885861
87	0.006858557086
88	0.006845982285
89	0.006825772724
90	0.006809467109
91	0.006793260009
92	0.006781237167
93	0.006768243003
94	0.00675489826
95	0.00673960317
96	0.006721878507
97	0.006712546543
98	0.006694551036
99	0.006684363558
100	0.006675383732
101	0.006653431566
102	0.006636401581
103	0.006626633674
104	0.006617218185
105	0.006601404525
106	0.006594545848
107	0.006580584426
108	0.006568849671
109	0.006563052139
110	0.006553876873
111	0.00654922725
112	0.006540357766
113	0.00653354235
114	0.006526227945
115	0.006519673517
116	0.006511017347
117	0.006504880388
118	0.006492147447
119	0.006479910529
120	0.006469586563
121	0.00646221959
122	0.006451305108
123	0.006442831667
124	0.006425539358
